名称,阳光,乐器,乐队/tag,七类,软体系,状态,种植,羁绊成员,文件
蛋包饭,25,—,—,消耗品,,可种,消耗品,,蛋包饭
H弹,50,—,—,消耗品,,可种,消耗品,chessTileType: 15,H
抹茶芭菲,75,—,—,消耗品,,可种,消耗品,,抹茶芭菲
牛肉饭,75,—,—,消耗品,,可种,消耗品,,牛肉饭
章鱼噬,75,—,—,消耗品,,可种,消耗品,chessTileType: 15,章鱼噼
睡莲,25,—,—,地形,,可种,地形,chessTileType: 2,睡莲
凛御银灰,50,—,—,未完成,,半成品,未完成,chessTileType: 0,凛御银灰
千夏,50,—,—,未完成,,半成品,未完成,,千夏
可露希尔,50,—,—,未完成,,半成品,未完成,chessTileType: 0,可露希尔
叶瞬光,50,—,—,未完成,,半成品,未完成,,叶瞬光
希希芙,50,—,—,未完成,,半成品,未完成,chessTileType: 0,希希芙
田井中律,50,—,—,未完成,,半成品,未完成,chessTileType: 0,田井中律
老仓育,50,—,—,未完成,压力,半成品,未完成,chessTileType: 0,老仓育
羽川翼,150,—,—,未完成,,半成品,未完成,chessTileType: 0,羽川翼
战场原黑仪,225,—,—,未完成,,半成品,未完成,chessTileType: 0,战场原黑仪
Soldier,0,—,士兵,待确认,,可种,主力,chessTileType: 1,Soldier
揭幕喵梦（祐天寺若麦）,25,鼓手,AveMujica,待归类,,可种,主力,祐天寺若麦,揭幕喵梦
压力,50,贝斯,Mygo,待归类,压力,可种,主力,长崎素世,天素罗
惊蛰,50,—,—,待归类,,可种,主力,chessTileType: 1,惊蜇
芭菲猫（要乐奈）,50,吉他,Mygo,待归类,,可种,主力,要乐奈,芭菲猫
压力希（椎名立希）,75,鼓手,Mygo,待归类,压力,可种,主力,椎名立希,压力希
立希汪（椎名立希）,75,鼓手,Mygo,待归类,压力,可种,主力,椎名立希,立希汪
今井莉莎,100,贝斯,Roselia / 棒球投手,待归类,,可种,主力,今井莉莎,今井莉莎
大和麻弥,100,鼓手,Pastel*Palettes,待归类,,可种,主力,大和麻弥,大和麻弥
山吹沙绫,100,鼓手,Poppin'Party / 棒球挥棒手,待归类,,可种,主力,山吹沙绫,山吹沙绫
若宫伊芙,100,键盘,Pastel*Palettes,待归类,,可种,主力,若宫伊芙,若宫伊芙
多首的怪物,125,吉他,AveMujica,待归类,压力,可种,主力,若叶睦,多首的怪物
灯（高松灯）,125,主唱,Mygo,待归类,,可种,主力,高松灯,灯
凑友希那射手,175,主唱,Roselia,待归类,压力,可种,主力,凑友希那,凑友希那
粉色奶龙（千早爱音）,175,吉他,Mygo,待归类,,可种,主力,千早爱音,粉色奶龙
维什戴尔,1000,—,明日方舟,待归类,,可种,主力,chessTileType: 1,维什戴尔
